//used for generating opcodes info
//
//basic line layout is:
//<opname> <opnum> [args [flow]]
//where args is a string identifying what immediately follows the
//opcode. this is one of:
//	I, literal index
//	J, lexical variable index
//	A, relative address
//	N, numeric index (stack items, ...)
//	M, signed numeric index
//	S, symbolic index (special case of I)
//	T, string index (special case of I)
//	C, 8 bit signed byte
//	B, 8 bit unsigned byte
//	K, 16 bit signed short
//	W, 16 bit unsigned short
//	H, 16 bit fixed-point value (100 based)
//	G, 16 bit fixed-point value (10000 based)
//	D, Float (SVLI Pair, base, exp)
//	L, 32-bit integer
//	U, UVLI
//	V, SVLI
//	...
//
//flow:	in*=out*
//	vv=v	Consumes 2 values and outputs a value
//	!, non-local control flow (ends trace)
//		(may call/jump, likely to throw, may block)
//	@, start of trace.
//	?, may potentially throw exception.
//
//flow types:
//	v, generic variant value;
//	i, generic fixnum;
//	f, generic flonum;
//	b, bool (variant).
//	I, int
//	L/J, long
//	F, float
//	D, double
//flow special values:
//	w/x/y/z, named variant;
//	j/k/l, named fixnum;
//	g/h, named flonum.
//
//if args is absent, it is assumed that the opcode is coded by itself.


//0-15 base ops
NOP					0 -	=		//do nothing
BLOCK				1 -	=!		//blocks if limit!=0
DBGMARK				2 TN	=	//sets the filename and line number
CGENAST				3 I	-!		//syntax to be passed to code generator
FN					4 T =		//filename
// PF_HINT_XSSI_IX	715 - =		//array type prefix (sshort[int], int)
// PF_HINT_XUDI_IX	716 - =		//array type prefix (uint[int], int)
// PF_HINT_XSDI_IX	717 - =		//array type prefix (sint[int], int)
// PF_HINT_XUDL_IX	718 - =		//array type prefix (uint[int], long)
// PF_HINT_XSDL_IX	719 - =		//array type prefix (sint[int], long)

// PF_HINT_XII		720 - =		//array type prefix (int[*]->int)
// PF_HINT_XLL		721 - =		//array type prefix (long[*]->long)
// PF_HINT_XFF		722 - =		//array type prefix (float[*]->float)
// PF_HINT_XDD		723 - =		//array type prefix (double[*]->double)
// PF_HINT_XII_IX	724 - =		//array type prefix (int[int]->int)
// PF_HINT_XLL_IX	725 - =		//array type prefix (long[int]->long)
// PF_HINT_XFF_IX	726 - =		//array type prefix (float[int]->float)
// PF_HINT_XDD_IX	727 - =		//array type prefix (double[int]->double)

//typed jump equal/non-equal
JMP_EQ_XI		728 A II=!	//i==j
JMP_NE_XI		729 A II=!	//i!=j
JMP_EQ_XL		730 A JJ=!	//i==j
JMP_NE_XL		731 A JJ=!	//i!=j
JMP_EQ_XF		732 A FF=!	//i==j
JMP_NE_XF		733 A FF=!	//i!=j
JMP_EQ_XD		734 A DD=!	//i==j
JMP_NE_XD		735 A DD=!	//i!=j

//typed jump relative compare
JMP_LT_XI		736 A II=!	//f<g
JMP_GT_XI		737 A II=!	//f>g
JMP_LE_XI		738 A II=!	//f<=g
JMP_GE_XI		739 A II=!	//f>=g
JMP_LT_XL		740 A JJ=!	//f<g
JMP_GT_XL		741 A JJ=!	//f>g
JMP_LE_XL		742 A JJ=!	//f<=g
JMP_GE_XL		743 A JJ=!	//f>=g
JMP_LT_XF		744 A FF=!	//f<g
JMP_GT_XF		745 A FF=!	//f>g
JMP_LE_XF		746 A FF=!	//f<=g
JMP_GE_XF		747 A FF=!	//f>=g
JMP_LT_XD		748 A DD=!	//f<g
JMP_GT_XD		749 A DD=!	//f>g
JMP_LE_XD		750 A DD=!	//f<=g
JMP_GE_XD		751 A DD=!	//f>=g

//typed load/store
LLOAD_XI		752 J =I	//load an item from the lexical env
LSTORE_XI		753 J I=	//store an item to the lexical env
LLOAD_XL		754 J =J	//load an item from the lexical env
LSTORE_XL		755 J J=	//store an item to the lexical env
LLOAD_XF		756 J =F	//load an item from the lexical env
LSTORE_XF		757 J F=	//store an item to the lexical env
LLOAD_XD		758 J =D	//load an item from the lexical env
LSTORE_XD		759 J D=	//store an item to the lexical env

//typed dup ops
DUP_XI			760	- I=II	//duplicate values
DUP_XL			761	- J=JJ	//duplicate values
DUP_XF			762	- F=FF	//duplicate values
DUP_XD			763	- D=DD	//duplicate values

//Type Conversion Functions
//1: These functions may accept other compatible types.
//2: may produce out-of-range values

// CONV_FN2XI		764 - i=i	//fixnum to int32 (1)
// CONV_FN2XL		765 - i=i	//fixnum to long (1)
// CONV_FL2XF		766 - i=i	//flonum to float32 (1)
// CONV_FL2XD		767 - i=i	//flonum to double (1)
// CONV_XI2XL		768 - i=i	//
// CONV_XI2XF		769 - i=i	//
// CONV_XI2XD		770 - i=i	//
// CONV_XI2FN		771 - i=i	//int32 to fixnum
// CONV_XL2XI		772 - i=i	//
// CONV_XL2XF		773 - i=i	//
// CONV_XL2XD		774 - i=i	//
// CONV_XL2FN		775 - i=i	//long to fixnum (2)
// CONV_XF2XI		776 - i=i	//
// CONV_XF2XL		777 - i=i	//
// CONV_XF2XD		778 - i=i	//
// CONV_XF2FL		779 - i=i	//float32 to flonum
// CONV_XD2XI		780 - i=i	//
// CONV_XD2XL		781 - i=i	//
// CONV_XD2XF		782 - i=i	//
// CONV_XD2FL		783 - i=i	//double to flonum (2)

//statically-typed arithmetic ops
ADD_XI			784 - II=I	//i+j
SUB_XI			785 - II=I	//i-j
MUL_XI			786 - II=I	//i*j
DIV_XI			787 - II=I	//i/j
ADD_XL			788 - JJ=J	//i+j
SUB_XL			789 - JJ=J	//i-j
MUL_XL			790 - JJ=J	//i*j
DIV_XL			791 - JJ=J	//i/j
ADD_XF			792 - FF=F	//i+j
SUB_XF			793 - FF=F	//i-j
MUL_XF			794 - FF=F	//i*j
DIV_XF			795 - FF=F	//i/j
ADD_XD			796 - DD=D	//i+j
SUB_XD			797 - DD=D	//i-j
MUL_XD			798 - DD=D	//i*j
DIV_XD			799 - DD=D	//i/j
//several more ops
MOD_XI			800 - II=I	//i%j
AND_XI			801 - II=I	//i&j
OR_XI			802 - II=I	//i|j
XOR_XI			803 - II=I	//i^j
MOD_XL			804 - JJ=J	//i%j
AND_XL			805 - JJ=J	//i&j
OR_XL			806 - JJ=J	//i|j
XOR_XL			807 - JJ=J	//i^j
//static equal and non-equal
CMP_EQ_XI		808 - II=b	//i==j
CMP_NE_XI		809 - II=b	//i!=j
CMP_EQ_XL		810 - JJ=b	//i==j
CMP_NE_XL		811 - JJ=b	//i!=j
CMP_EQ_XF		812 - FF=b	//i==j
CMP_NE_XF		813 - FF=b	//i!=j
CMP_EQ_XD		814 - DD=b	//i==j
CMP_NE_XD		815 - DD=b	//i!=j
//static relative compare ops
CMP_LT_XI		816 - II=b	//i<j
CMP_GT_XI		817 - II=b	//i>j
CMP_LE_XI		818 - II=b	//i<=j
CMP_GE_XI		819 - II=b	//i>=j
CMP_LT_XL		820 - JJ=b	//i<j
CMP_GT_XL		821 - JJ=b	//i>j
CMP_LE_XL		822 - JJ=b	//i<=j
CMP_GE_XL		823 - JJ=b	//i>=j
CMP_LT_XF		824 - FF=b	//i<j
CMP_GT_XF		825 - FF=b	//i>j
CMP_LE_XF		826 - FF=b	//i<=j
CMP_GE_XF		827 - FF=b	//i>=j
CMP_LT_XD		828 - DD=b	//i<j
CMP_GT_XD		829 - DD=b	//i>j
CMP_LE_XD		830 - DD=b	//i<=j
CMP_GE_XD		831 - DD=b	//i>=j
//static value/immed ops
ADD_XI_C		832 V I=i	//i+c
SUB_XI_C		833 V I=i	//i-c
MUL_XI_C		834 V I=i	//i*c
DIV_XI_C		835 V I=i	//i*c
ADD_XL_C		836 V J=i	//i+c
SUB_XL_C		837 V J=i	//i-c
MUL_XL_C		838 V J=i	//i*c
DIV_XL_C		839 V J=i	//i*c
//statically-typed unary ops
NEG_XI			840 - I=I	//-i
NOT_XI			841 - I=I	//~i
NEG_XL			842 - J=J	//-i
NOT_XL			843 - J=J	//~i
NEG_XF			844 - F=F	//-i
NOT_XF			845 - F=F	//~i
NEG_XD			846 - D=D	//-i
NOT_XD			847 - D=D	//~i
//statically-typed shift ops
SHL_XI			848 - II=I	//i<<j
SHR_XI			849 - II=I	//i>>j
SHL_XI_C		850 B I=I	//i<<c
SHR_XI_C		851 B I=I	//i>>c
SHL_XL			852 - JJ=J	//i<<j
SHR_XL			853 - JJ=J	//i>>j
SHL_XL_C		854 B J=J	//i<<c
SHR_XL_C		855 B J=J	//i>>c
SHRR_XI			856 - I=I	//i>>>j
SHRR_XL			857 - J=J	//i>>>j
SHRR_XI_C		858 B I=I	//i>>>c
SHRR_XL_C		859 B J=J	//i>>>c
